society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Nb21,Coos,xd1081,coos1249,Hanis,Coosan,AnnualMeanTemperature,11.30610184,,,,
B182,Karuk,xd1095,karo1304,Karok,,AnnualMeanTemperature,11.339119,,,,
B269,Alsea,xd1088,alse1251,Alsea-Yaquina,,AnnualMeanTemperature,11.34018899,,,,
Nb33,Chimariko,xd1094,chim1301,Chimariko,,AnnualMeanTemperature,11.34578144,,,,
Nb35,Hupa,xd1096,hupa1239,Hupa,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,11.34578144,,,,
Ci3,Kumyk,xd579,kumy1244,Kumyk,Turkic,AnnualMeanTemperature,11.34994826,,,,
B200,Tümpisa Shoshone (Saline),xd1166,pana1305,Panamint,Uto-Aztecan,AnnualMeanTemperature,11.37312871,,,,
Nd29,Tunava (Deep Springs and Fish Lake),xd1162,mono1275,Mono (USA),Uto-Aztecan,AnnualMeanTemperature,11.37312871,,,,
Nd30,Eastern Mono,xd1164,mono1275,Mono (USA),Uto-Aztecan,AnnualMeanTemperature,11.37312871,,,,
Nb28,Alsea,xd1088,alse1251,Alsea-Yaquina,,AnnualMeanTemperature,11.37536575,,,,
Nb29,Siuslaw,xd1089,sius1254,Siuslaw,,AnnualMeanTemperature,11.37536575,,,,
WNAI30,Siuslaw,xd1089,sius1254,Siuslaw,,AnnualMeanTemperature,11.37536575,,,,
WNAI55,Foothill Maidu,xd1433,nort2951,Northwest Maidu,Maiduan,AnnualMeanTemperature,11.40264586,,,,
Ce4,French Basques,xd531,labo1236,Labourdin,Basque,AnnualMeanTemperature,11.42036495,,,,
WNAI150,Western Apache (Cibecue),xd1267,west2615,Western Apache,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,11.44520641,,,,
Nj13,Otomí,xd1299,mezq1235,Mezquital Otomi,Otomanguean,AnnualMeanTemperature,11.51454534,,,,
Nf4,Myaamia,xd1238,miam1252,Miami,Algic,AnnualMeanTemperature,11.51992149,,,,
Ce2,Portuguese,xd529,gali1257,Galician Portuguese,Indo-European,AnnualMeanTemperature,11.52487191,,,,
SCCS143,Omaha,xd1237,omah1248,Omaha,Siouan,AnnualMeanTemperature,11.53361293,,,,
B204,Southern Paiute (Kaibab and Las Vegas),xd1189,sout2969,Southern Paiute,Uto-Aztecan,AnnualMeanTemperature,11.53809756,,,,
WNAI37,Karuk,xd1095,karo1304,Karok,,AnnualMeanTemperature,11.63414418,,,,
B178,Tolowa,xd1103,tolo1259,Tolowa-Chetco,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,11.66892207,,,,
Nb31,Tututni,xd1092,tutu1242,Tututni,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,11.66892207,,,,
Nb6,Tolowa,xd1103,tolo1259,Tolowa-Chetco,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,11.66892207,,,,
WNAI35,Tolowa,xd1103,tolo1259,Tolowa-Chetco,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,11.66892207,,,,
B275,Coos,xd1081,coos1249,Hanis,Coosan,AnnualMeanTemperature,11.70436866,,,,
WNAI31,Coos,xd1081,coos1249,Hanis,Coosan,AnnualMeanTemperature,11.70436866,,,,
B181,Tututni,xd1092,tutu1242,Tututni,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,11.72809958,,,,
SCCS184,Mapuche,xd1384,mapu1245,Mapudungun,Araucanian,AnnualMeanTemperature,11.73974332,,,,
Nf10,Iowa,xd1230,iowa1246,Iowa,Siouan,AnnualMeanTemperature,11.76024084,,,,
Ce8,Spanish Basques,xd535,west1508,Western Low Navarrese,Basque,AnnualMeanTemperature,11.77188418,,,,
WNAI58,Nisenan (Mountain),xd1111,nise1244,Nisenan,Maiduan,AnnualMeanTemperature,11.83448134,,,,
Ce1,Gheg,xd528,gheg1238,Gheg Albanian,Indo-European,AnnualMeanTemperature,11.8407087,,,,
SCCS48,Gheg,xd528,gheg1238,Gheg Albanian,Indo-European,AnnualMeanTemperature,11.8407087,,,,
Sf8,Piro,xd1381,yine1238,Yine,Arawakan,AnnualMeanTemperature,11.84102496,,,,
WNAI71,North Fork Mono,xd993,mono1275,Mono (USA),Uto-Aztecan,AnnualMeanTemperature,11.85086169,,,,
WNAI32,Tututni,xd1092,tutu1242,Tututni,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,11.85186941,,,,
WNAI33,Chetco,xd1422,tolo1259,Tolowa-Chetco,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,11.85186941,,,,
B186,Yurok,xd1101,yuro1248,Yurok,Algic,AnnualMeanTemperature,11.88940898,,,,
SCCS134,Yurok,xd1101,yuro1248,Yurok,Algic,AnnualMeanTemperature,11.88940898,,,,
WNAI36,Yurok,xd1101,yuro1248,Yurok,Algic,AnnualMeanTemperature,11.88940898,,,,
B162,Chimariko,xd1094,chim1301,Chimariko,,AnnualMeanTemperature,11.94510031,,,,
WNAI38,Hupa,xd1096,hupa1239,Hupa,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,11.94510031,,,,
WNAI46,Chimariko,xd1094,chim1301,Chimariko,,AnnualMeanTemperature,11.94510031,,,,
WNAI47,Wintu (Trinity River),xd1112,nucl1651,Nuclear Wintu,Wintuan,AnnualMeanTemperature,11.94510031,,,,
B202,Eastern Mono,xd1164,mono1275,Mono (USA),Uto-Aztecan,AnnualMeanTemperature,11.96849469,,,,
Ed10,Shantung,xd639,mand1415,Mandarin Chinese,Sino-Tibetan,AnnualMeanTemperature,11.99241901,,,,
